MLDM,MLMC,XKDM,XKMC,ZYDM,ZYMC
04,教育学,0402,体育学类,040203,社会体育指导与管理
04,教育学,0402,体育学类,040204,武术与民族传统体育
04,教育学,0402,体育学类,040205,运动人体科学
04,教育学,0402,体育学类,040206,运动康复
04,教育学,0402,体育学类,040207,休闲体育
05,文学,0501,中国语言文学类,050100,中国语言文学类
05,文学,0501,中国语言文学类,050101,汉语言文学
05,文学,0501,中国语言文学类,050102,汉语言
05,文学,0501,中国语言文学类,050103,汉语国际教育
05,文学,0501,中国语言文学类,050104,中国少数民族语言文学
05,文学,0501,中国语言文学类,050105,古典文献学
05,文学,0501,中国语言文学类,050106,应用语言学
05,文学,0501,中国语言文学类,050107,秘书学
05,文学,0501,中国语言文学类,05010J,中国语言文学基地班
05,文学,0502,外国语言文学类,050200,外国语言文学类
05,文学,0502,外国语言文学类,050201,英语
05,文学,0502,外国语言文学类,050202,俄语
05,文学,0502,外国语言文学类,050203,德语
05,文学,0502,外国语言文学类,050204,法语
05,文学,0502,外国语言文学类,050205,西班牙语
05,文学,0502,外国语言文学类,050206,阿拉伯语
05,文学,0502,外国语言文学类,050207,日语
05,文学,0502,外国语言文学类,050208,波斯语
05,文学,0502,外国语言文学类,050209,朝鲜语
05,文学,0502,外国语言文学类,050210,菲律宾语
05,文学,0502,外国语言文学类,050211,梵语巴利语
05,文学,0502,外国语言文学类,050212,印度尼西亚语
05,文学,0502,外国语言文学类,050213,印地语
05,文学,0502,外国语言文学类,050214,柬埔寨语
05,文学,0502,外国语言文学类,050215,老挝语
05,文学,0502,外国语言文学类,050216,缅甸语
05,文学,0502,外国语言文学类,050217,马来语
05,文学,0502,外国语言文学类,050218,蒙古语
05,文学,0502,外国语言文学类,050219,僧伽罗语
05,文学,0502,外国语言文学类,050220,泰语
05,文学,0502,外国语言文学类,050221,乌尔都语
05,文学,0502,外国语言文学类,050222,希伯来语
05,文学,0502,外国语言文学类,050223,越南语
05,文学,0502,外国语言文学类,050224,豪萨语
05,文学,0502,外国语言文学类,050225,斯瓦希里语
05,文学,0502,外国语言文学类,050226,阿尔巴尼亚语
05,文学,0502,外国语言文学类,050227,保加利亚语
05,文学,0502,外国语言文学类,050228,波兰语
05,文学,0502,外国语言文学类,050229,捷克语
05,文学,0502,外国语言文学类,050230,斯洛伐克语
05,文学,0502,外国语言文学类,050231,罗马尼亚语
05,文学,0502,外国语言文学类,050232,葡萄牙语
05,文学,0502,外国语言文学类,050233,瑞典语
05,文学,0502,外国语言文学类,050234,塞尔维亚语
05,文学,0502,外国语言文学类,050235,土耳其语
05,文学,0502,外国语言文学类,050236,希腊语
05,文学,0502,外国语言文学类,050237,匈牙利语
05,文学,0502,外国语言文学类,050238,意大利语
05,文学,0502,外国语言文学类,050239,泰米尔语
05,文学,0502,外国语言文学类,050240,普什图语
05,文学,0502,外国语言文学类,050241,世界语
05,文学,0502,外国语言文学类,050242,孟加拉语
05,文学,0502,外国语言文学类,050243,尼泊尔语
05,文学,0502,外国语言文学类,050244,克罗地亚语
05,文学,0502,外国语言文学类,050245,荷兰语
05,文学,0502,外国语言文学类,050246,芬兰语
05,文学,0502,外国语言文学类,050247,乌克兰语
05,文学,0502,外国语言文学类,050248,挪威语
05,文学,0502,外国语言文学类,050249,丹麦语
05,文学,0502,外国语言文学类,050250,冰岛语
05,文学,0502,外国语言文学类,050251,爱尔兰语
05,文学,0502,外国语言文学类,050252,拉脱维亚语
05,文学,0502,外国语言文学类,050253,立陶宛语
05,文学,0502,外国语言文学类,050254,斯洛文尼亚语
05,文学,0502,外国语言文学类,050255,爱沙尼亚语
05,文学,0502,外国语言文学类,050256,马耳他语
05,文学,0502,外国语言文学类,050257,哈萨克语
05,文学,0502,外国语言文学类,050258,乌兹别克语
05,文学,0502,外国语言文学类,050259,祖鲁语
05,文学,0502,外国语言文学类,050260,拉丁语
05,文学,0502,外国语言文学类,050261,翻译
05,文学,0502,外国语言文学类,050262,商务英语
05,文学,0502,外国语言文学类,050263,阿姆哈拉语
05,文学,0502,外国语言文学类,050264,吉尔吉斯语
05,文学,0502,外国语言文学类,050265,索马里语
05,文学,0502,外国语言文学类,050266,土库曼语
05,文学,0502,外国语言文学类,050267,加泰罗尼亚语
05,文学,0502,外国语言文学类,050268,约鲁巴语
05,文学,0502,外国语言文学类,050269,亚美尼亚语
05,文学,0502,外国语言文学类,050270,马达加斯加语
05,文学,0502,外国语言文学类,050271,格鲁吉亚语
05,文学,0502,外国语言文学类,050272,阿塞拜疆语
05,文学,0502,外国语言文学类,050273,阿非利卡语
05,文学,0502,外国语言文学类,050274,马其顿语
05,文学,0502,外国语言文学类,050275,塔吉克语
05,文学,0503,新闻传播学类,050300,新闻传播学类
05,文学,0503,新闻传播学类,050301,新闻学
05,文学,0503,新闻传播学类,050302,广播电视学
05,文学,0503,新闻传播学类,050303,广告学
05,文学,0503,新闻传播学类,050304,传播学
05,文学,0503,新闻传播学类,050305,编辑出版学
05,文学,0503,新闻传播学类,050306,网络与新媒体
05,文学,0503,新闻传播学类,050307,数字出版
05,文学,05SY,文科试验班类,05SY00,文科试验班类
06,历史学,0601,历史学类,060100,历史学类
06,历史学,0601,历史学类,060101,历史学
06,历史学,0601,历史学类,060102,世界史
06,历史学,0601,历史学类,060103,考古学
06,历史学,0601,历史学类,060104,文物与博物馆学
06,历史学,0601,历史学类,060105,文物保护技术
06,历史学,0601,历史学类,060106,外国语言与外国历史
06,历史学,0601,历史学类,060107,文化遗产
06,历史学,0601,历史学类,06010J,历史学基地班
07,理学,0701,数学类,070100,数学类
07,理学,0701,数学类,070101,数学与应用数学
07,理学,0701,数学类,070102,信息与计算科学
07,理学,0701,数学类,070103,数理基础科学
07,理学,0701,数学类,07010J,数学基地班
07,理学,0702,物理学类,070200,物理学类
07,理学,0702,物理学类,070201,物理学
07,理学,0702,物理学类,070202,应用物理学
07,理学,0702,物理学类,070203,核物理
07,理学,0702,物理学类,070204,声学
07,理学,0702,物理学类,07020J,物理学基地班
07,理学,0703,化学类,070300,化学类
07,理学,0703,化学类,070301,化学
07,理学,0703,化学类,070302,应用化学
07,理学,0703,化学类,070303,化学生物学
07,理学,0703,化学类,070304,分子科学与工程
07,理学,0703,化学类,070305,能源化学
07,理学,0703,化学类,07030J,化学基地班
07,理学,0704,天文学类,070400,天文学类
07,理学,0704,天文学类,070401,天文学
07,理学,0705,地理科学类,070500,地理科学类
07,理学,0705,地理科学类,070501,地理科学
07,理学,0705,地理科学类,070502,自然地理与资源环境
07,理学,0705,地理科学类,070503,人文地理与城乡规划
07,理学,0705,地理科学类,070504,地理信息科学
07,理学,0706,大气科学类,070600,大气科学类
07,理学,0706,大气科学类,070601,大气科学
07,理学,0706,大气科学类,070602,应用气象学
07,理学,0707,海洋科学类,070700,海洋科学类
07,理学,0707,海洋科学类,070701,海洋科学
07,理学,0707,海洋科学类,070702,海洋技术
07,理学,0707,海洋科学类,070703,海洋资源与环境
07,理学,0707,海洋科学类,070704,军事海洋学
07,理学,0708,地球物理学类,070800,地球物理学类
07,理学,0708,地球物理学类,070801,地球物理学
07,理学,0708,地球物理学类,070802,空间科学与技术
07,理学,0709,地质学类,070900,地质学类
07,理学,0709,地质学类,070901,地质学
07,理学,0709,地质学类,070902,地球化学
07,理学,0709,地质学类,070903,地球信息科学与技术
07,理学,0709,地质学类,070904,古生物学
07,理学,0710,生物科学类,071000,生物科学类
07,理学,0710,生物科学类,071001,生物科学
07,理学,0710,生物科学类,071002,生物技术
07,理学,0710,生物科学类,071003,生物信息学
07,理学,0710,生物科学类,071004,生态学
07,理学,0710,生物科学类,07100J,生物学基地班
07,理学,0710,生物科学类,07101J,生命科学与技术基地班
07,理学,0711,心理学类,071100,心理学类
07,理学,0711,心理学类,071101,心理学
07,理学,0711,心理学类,071102,应用心理学
07,理学,0712,统计学类,071200,统计学类
07,理学,0712,统计学类,071201,统计学
07,理学,0712,统计学类,071202,应用统计学
07,理学,07SY,理科试验班类,07SY00,理科试验班类
07,理学,07SY,理科试验班类,07SY01,理科试验班
07,理学,07SY,理科试验班类,07SY02,自然科学试验班
08,工学,0801,力学类,080100,力学类
08,工学,0801,力学类,080101,理论与应用力学
08,工学,0801,力学类,080102,工程力学
08,工学,0802,机械类,080200,机械类
08,工学,0802,机械类,080201,机械工程
08,工学,0802,机械类,080202,机械设计制造及其自动化
08,工学,0802,机械类,080203,材料成型及控制工程
08,工学,0802,机械类,080204,机械电子工程
08,工学,0802,机械类,080205,工业设计
08,工学,0802,机械类,080206,过程装备与控制工程
08,工学,0802,机械类,080207,车辆工程
08,工学,0802,机械类,080208,汽车服务工程
08,工学,0802,机械类,080209,机械工艺技术
08,工学,0802,机械类,080210,微机电系统工程
08,工学,0802,机械类,080211,机电技术教育
08,工学,0802,机械类,080212,汽车维修工程教育
08,工学,0803,仪器类,080300,仪器类
08,工学,0803,仪器类,080301,测控技术与仪器
08,工学,0804,材料类,080400,材料类
08,工学,0804,材料类,080401,材料科学与工程
08,工学,0804,材料类,080402,材料物理
08,工学,0804,材料类,080403,材料化学
08,工学,0804,材料类,080404,冶金工程
08,工学,0804,材料类,080405,金属材料工程
08,工学,0804,材料类,080406,无机非金属材料工程
08,工学,0804,材料类,080407,高分子材料与工程
08,工学,0804,材料类,080408,复合材料与工程
08,工学,0804,材料类,080409,粉体材料科学与工程
08,工学,0804,材料类,080410,宝石及材料工艺学
08,工学,0804,材料类,080411,焊接技术与工程
08,工学,0804,材料类,080412,功能材料
08,工学,0804,材料类,080413,纳米材料与技术
08,工学,0804,材料类,080414,新能源材料与器件
08,工学,0804,材料类,080415,材料设计科学与工程
08,工学,0805,能源动力类,080500,能源动力类
08,工学,0805,能源动力类,080501,能源与动力工程
08,工学,0805,能源动力类,080502,能源与环境系统工程
08,工学,0805,能源动力类,080503,新能源科学与工程
08,工学,0806,电气类,080600,电气类
08,工学,0806,电气类,080601,电气工程及其自动化
08,工学,0806,电气类,080602,智能电网信息工程
08,工学,0806,电气类,080603,光源与照明
08,工学,0806,电气类,080604,电气工程与智能控制
08,工学,0807,电子信息类,080700,电子信息类
08,工学,0807,电子信息类,080701,电子信息工程
08,工学,0807,电子信息类,080702,电子科学与技术
08,工学,0807,电子信息类,080703,通信工程
08,工学,0807,电子信息类,080704,微电子科学与工程
08,工学,0807,电子信息类,080705,光电信息科学与工程
08,工学,0807,电子信息类,080706,信息工程
08,工学,0807,电子信息类,080707,广播电视工程
08,工学,0807,电子信息类,080708,水声工程
08,工学,0807,电子信息类,080709,电子封装技术
08,工学,0807,电子信息类,080710,集成电路设计与集成系统
08,工学,0807,电子信息类,080711,医学信息工程
08,工学,0807,电子信息类,080712,电磁场与无线技术
08,工学,0807,电子信息类,080713,电波传播与天线
08,工学,0807,电子信息类,080714,电子信息科学与技术
08,工学,0807,电子信息类,080715,电信工程及管理
08,工学,0807,电子信息类,080716,应用电子技术教育
08,工学,0808,自动化类,080800,自动化类
08,工学,0808,自动化类,080801,自动化
08,工学,0808,自动化类,080802,轨道交通信号与控制
08,工学,0808,自动化类,080803,机器人工程
08,工学,0809,计算机类,080900,计算机类
08,工学,0809,计算机类,080901,计算机科学与技术
08,工学,0809,计算机类,080902,软件工程
08,工学,0809,计算机类,080903,网络工程
08,工学,0809,计算机类,080904,信息安全
08,工学,0809,计算机类,080905,物联网工程
08,工学,0809,计算机类,080906,数字媒体技术
08,工学,0809,计算机类,080907,智能科学与技术
08,工学,0809,计算机类,080908,空间信息与数字技术
08,工学,0809,计算机类,080909,电子与计算机工程
08,工学,0809,计算机类,080910,数据科学与大数据技术
08,工学,0809,计算机类,080911,网络空间安全
08,工学,0810,土木类,081000,土木类
08,工学,0810,土木类,081001,土木工程
08,工学,0810,土木类,081002,建筑环境与能源应用工程
08,工学,0810,土木类,081003,给排水科学与工程
08,工学,0810,土木类,081004,建筑电气与智能化
08,工学,0810,土木类,081005,城市地下空间工程
08,工学,0810,土木类,081006,道路桥梁与渡河工程
08,工学,0810,土木类,081007,铁道工程
08,工学,0811,水利类,081100,水利类
08,工学,0811,水利类,081101,水利水电工程
08,工学,0811,水利类,081102,水文与水资源工程
08,工学,0811,水利类,081103,港口航道与海岸工程
08,工学,0811,水利类,081104,水务工程
08,工学,0811,水利类,081105,水利科学与工程
08,工学,0812,测绘类,081200,测绘类
08,工学,0812,测绘类,081201,测绘工程
08,工学,0812,测绘类,081202,遥感科学与技术
08,工学,0812,测绘类,081203,导航工程
08,工学,0812,测绘类,081204,地理国情监测
08,工学,0812,测绘类,081205,地理空间信息工程
08,工学,0813,化工与制药类,081300,化工与制药类
08,工学,0813,化工与制药类,081301,化学工程与工艺
08,工学,0813,化工与制药类,081302,制药工程
08,工学,0813,化工与制药类,081303,资源循环科学与工程
08,工学,0813,化工与制药类,081304,能源化学工程
08,工学,0813,化工与制药类,081305,化学工程与工业生物工程
08,工学,0814,地质类,081400,地质类
08,工学,0814,地质类,081401,地质工程
08,工学,0814,地质类,081402,勘查技术与工程
08,工学,0814,地质类,081403,资源勘查工程
08,工学,0814,地质类,081404,地下水科学与工程
08,工学,0815,矿业类,081500,矿业类
08,工学,0815,矿业类,081501,采矿工程
08,工学,0815,矿业类,081502,石油工程
08,工学,0815,矿业类,081503,矿物加工工程
08,工学,0815,矿业类,081504,油气储运工程
08,工学,0815,矿业类,081505,矿物资源工程
08,工学,0815,矿业类,081506,海洋油气工程
08,工学,0816,纺织类,081600,纺织类
08,工学,0816,纺织类,081601,纺织工程
08,工学,0816,纺织类,081602,服装设计与工程
08,工学,0816,纺织类,081603,非织造材料与工程
08,工学,0816,纺织类,081604,服装设计与工艺教育
08,工学,0817,轻工类,081700,轻工类
08,工学,0817,轻工类,081701,轻化工程
08,工学,0817,轻工类,081702,包装工程
08,工学,0817,轻工类,081703,印刷工程
08,工学,0818,交通运输类,081800,交通运输类
08,工学,0818,交通运输类,081801,交通运输
08,工学,0818,交通运输类,081802,交通工程
08,工学,0818,交通运输类,081803,航海技术
08,工学,0818,交通运输类,081804,轮机工程
08,工学,0818,交通运输类,081805,飞行技术
08,工学,0818,交通运输类,081806,交通设备与控制工程
08,工学,0818,交通运输类,081807,救助与打捞工程
08,工学,0818,交通运输类,081808,船舶电子电气工程
08,工学,0819,海洋工程类,081900,海洋工程类
08,工学,0819,海洋工程类,081901,船舶与海洋工程
08,工学,0819,海洋工程类,081902,海洋工程与技术
08,工学,0819,海洋工程类,081903,海洋资源开发技术
08,工学,0820,航空航天类,082000,航空航天类
08,工学,0820,航空航天类,082001,航空航天工程
08,工学,0820,航空航天类,082002,飞行器设计与工程
08,工学,0820,航空航天类,082003,飞行器制造工程
08,工学,0820,航空航天类,082004,飞行器动力工程
08,工学,0820,航空航天类,082005,飞行器环境与生命保障工程
08,工学,0820,航空航天类,082006,飞行器质量与可靠性
08,工学,0820,航空航天类,082007,飞行器适航技术
08,工学,0820,航空航天类,082008,飞行器控制与信息工程
08,工学,0821,兵器类,082100,兵器类
08,工学,0821,兵器类,082101,武器系统与工程
08,工学,0821,兵器类,082102,武器发射工程
08,工学,0821,兵器类,082103,探测制导与控制技术
08,工学,0821,兵器类,082104,弹药工程与爆炸技术
08,工学,0821,兵器类,082105,特种能源技术与工程
08,工学,0821,兵器类,082106,装甲车辆工程
08,工学,0821,兵器类,082107,信息对抗技术
08,工学,0822,核工程类,082200,核工程类
08,工学,0822,核工程类,082201,核工程与核技术
08,工学,0822,核工程类,082202,辐射防护与核安全
08,工学,0822,核工程类,082203,工程物理
08,工学,0822,核工程类,082204,核化工与核燃料工程
08,工学,0823,农业工程类,082300,农业工程类
08,工学,0823,农业工程类,082301,农业工程
08,工学,0823,农业工程类,082302,农业机械化及其自动化
08,工学,0823,农业工程类,082303,农业电气化
08,工学,0823,农业工程类,082304,农业建筑环境与能源工程
08,工学,0823,农业工程类,082305,农业水利工程
08,工学,0824,林业工程类,082400,林业工程类
08,工学,0824,林业工程类,082401,森林工程
08,工学,0824,林业工程类,082402,木材科学与工程
08,工学,0824,林业工程类,082403,林产化工
08,工学,0825,环境科学与工程类,082500,环境科学与工程类
08,工学,0825,环境科学与工程类,082501,环境科学与工程
08,工学,0825,环境科学与工程类,082502,环境工程
08,工学,0825,环境科学与工程类,082503,环境科学
08,工学,0825,环境科学与工程类,082504,环境生态工程
08,工学,0825,环境科学与工程类,082505,环保设备工程
08,工学,0825,环境科学与工程类,082506,资源环境科学
08,工学,0825,环境科学与工程类,082507,水质科学与技术
08,工学,0826,生物医学工程类,082600,生物医学工程类
08,工学,0826,生物医学工程类,082601,生物医学工程
08,工学,0826,生物医学工程类,082602,假肢矫形工程
08,工学,0827,食品科学与工程类,082700,食品科学与工程类
08,工学,0827,食品科学与工程类,082701,食品科学与工程
08,工学,0827,食品科学与工程类,082702,食品质量与安全
08,工学,0827,食品科学与工程类,082703,粮食工程
08,工学,0827,食品科学与工程类,082704,乳品工程
08,工学,0827,食品科学与工程类,082705,酿酒工程
08,工学,0827,食品科学与工程类,082706,葡萄与葡萄酒工程
08,工学,0827,食品科学与工程类,082707,食品营养与检验教育
08,工学,0827,食品科学与工程类,082708,烹饪与营养教育
08,工学,0828,建筑类,082800,建筑类
08,工学,0828,建筑类,082801,建筑学
08,工学,0828,建筑类,082802,城乡规划
08,工学,0828,建筑类,082803,风景园林
08,工学,0828,建筑类,082804,历史建筑保护工程
08,工学,0829,安全科学与工程类,082900,安全科学与工程类
08,工学,0829,安全科学与工程类,082901,安全工程
08,工学,0830,生物工程类,083000,生物工程类
08,工学,0830,生物工程类,083001,生物工程
08,工学,0830,生物工程类,083002,生物制药
08,工学,0831,公安技术类,083100,公安技术类
08,工学,0831,公安技术类,083101,刑事科学技术
08,工学,0831,公安技术类,083102,消防工程
08,工学,0831,公安技术类,083103,交通管理工程
08,工学,0831,公安技术类,083104,安全防范工程
08,工学,0831,公安技术类,083105,公安视听技术
08,工学,0831,公安技术类,083106,抢险救援指挥与技术
08,工学,0831,公安技术类,083107,火灾勘查
08,工学,0831,公安技术类,083108,网络安全与执法
08,工学,0831,公安技术类,083109,核生化消防
08,工学,0831,公安技术类,083110,海警舰艇指挥与技术
08,工学,08SY,工科试验班类,08SY00,工科试验班类
08,工学,08SY,工科试验班类,08SY01,工科试验班
08,工学,08SY,工科试验班类,08SY02,科技与创意设计试验班
08,工学,08SY,工科试验班类,08SY03,技术科学试验班
09,农学,0901,植物生产类,090100,植物生产类
09,农学,0901,植物生产类,090101,农学
09,农学,0901,植物生产类,090102,园艺
09,农学,0901,植物生产类,090103,植物保护
09,农学,0901,植物生产类,090104,植物科学与技术
09,农学,0901,植物生产类,090105,种子科学与工程
09,农学,0901,植物生产类,090106,设施农业科学与工程
09,农学,0901,植物生产类,090107,茶学
09,农学,0901,植物生产类,090108,烟草
09,农学,0901,植物生产类,090109,应用生物科学
09,农学,0901,植物生产类,090110,农艺教育
09,农学,0901,植物生产类,090111,园艺教育
09,农学,0902,自然保护与环境生态类,090200,自然保护与环境生态类
09,农学,0902,自然保护与环境生态类,090201,农业资源与环境
09,农学,0902,自然保护与环境生态类,090202,野生动物与自然保护区管理
09,农学,0902,自然保护与环境生态类,090203,水土保持与荒漠化防治
09,农学,0903,动物生产类,090300,动物生产类
09,农学,0903,动物生产类,090301,动物科学
09,农学,0903,动物生产类,090302,蚕学
09,农学,0903,动物生产类,090303,蜂学
09,农学,0904,动物医学类,090400,动物医学类
09,农学,0904,动物医学类,090401,动物医学
09,农学,0904,动物医学类,090402,动物药学
09,农学,0904,动物医学类,090403,动植物检疫
09,农学,0905,林学类,090500,林学类
09,农学,0905,林学类,090501,林学
09,农学,0905,林学类,090502,园林
09,农学,0905,林学类,090503,森林保护
09,农学,0906,水产类,090600,水产类
09,农学,0906,水产类,090601,水产养殖学
09,农学,0906,水产类,090602,海洋渔业科学与技术
09,农学,0906,水产类,090603,水族科学与技术
09,农学,0906,水产类,090604,水生动物医学
09,农学,0907,草学类,090700,草学类
09,农学,0907,草学类,090701,草业科学
10,医学,1001,基础医学类,100100,基础医学类
10,医学,1001,基础医学类,100101,基础医学
10,医学,1001,基础医学类,100102,生物医学
10,医学,1001,基础医学类,100103,生物医学科学
10,医学,1001,基础医学类,10010J,基础医学基地班
10,医学,1002,临床医学类,100200,临床医学类
10,医学,1002,临床医学类,100201,临床医学
10,医学,1002,临床医学类,100202,麻醉学
10,医学,1002,临床医学类,100203,医学影像学
10,医学,1002,临床医学类,100204,眼视光医学
10,医学,1002,临床医学类,100205,精神医学
10,医学,1002,临床医学类,100206,放射医学
10,医学,1002,临床医学类,100207,儿科学
10,医学,1003,口腔医学类,100300,口腔医学类
10,医学,1003,口腔医学类,100301,口腔医学
10,医学,1004,公共卫生与预防医学类,100400,公共卫生与预防医学类
10,医学,1004,公共卫生与预防医学类,100401,预防医学
10,医学,1004,公共卫生与预防医学类,100402,食品卫生与营养学
10,医学,1004,公共卫生与预防医学类,100403,妇幼保健医学
10,医学,1004,公共卫生与预防医学类,100404,卫生监督
10,医学,1004,公共卫生与预防医学类,100405,全球健康学
10,医学,1005,中医学类,100500,中医学类
10,医学,1005,中医学类,100501,中医学
10,医学,1005,中医学类,100502,针灸推拿学
10,医学,1005,中医学类,100503,藏医学
10,医学,1005,中医学类,100504,蒙医学
10,医学,1005,中医学类,100505,维医学
10,医学,1005,中医学类,100506,壮医学
10,医学,1005,中医学类,100507,哈医学
10,医学,1005,中医学类,100508,傣医学
10,医学,1005,中医学类,100509,回医学
10,医学,1006,中西医结合类,100600,中西医结合类
10,医学,1006,中西医结合类,100601,中西医临床医学
10,医学,1007,药学类,100700,药学类
10,医学,1007,药学类,100701,药学
10,医学,1007,药学类,100702,药物制剂
10,医学,1007,药学类,100703,临床药学
10,医学,1007,药学类,100704,药事管理
10,医学,1007,药学类,100705,药物分析
10,医学,1007,药学类,100706,药物化学
10,医学,1007,药学类,100707,海洋药学
10,医学,1008,中药学类,100800,中药学类
10,医学,1008,中药学类,100801,中药学
10,医学,1008,中药学类,100802,中药资源与开发
10,医学,1008,中药学类,100803,藏药学
10,医学,1008,中药学类,100804,蒙药学
10,医学,1008,中药学类,100805,中药制药
10,医学,1008,中药学类,100806,中草药栽培与鉴定
10,医学,1009,法医学类,100900,法医学类
10,医学,1009,法医学类,100901,法医学
10,医学,1010,医学技术类,101000,医学技术类
10,医学,1010,医学技术类,101001,医学检验技术
10,医学,1010,医学技术类,101002,医学实验技术
10,医学,1010,医学技术类,101003,医学影像技术
10,医学,1010,医学技术类,101004,眼视光学
10,医学,1010,医学技术类,101005,康复治疗学
10,医学,1010,医学技术类,101006,口腔医学技术
10,医学,1010,医学技术类,101007,卫生检验与检疫
10,医学,1010,医学技术类,101008,听力与言语康复学
10,医学,1011,护理学类,101100,护理学类
10,医学,1011,护理学类,101101,护理学
10,医学,10SY,医学试验班类,10SY00,医学试验班类
10,医学,10SY,医学试验班类,10SY01,医学试验班
12,管理学,1201,管理科学与工程类,120100,管理科学与工程类
12,管理学,1201,管理科学与工程类,120101,管理科学
12,管理学,1201,管理科学与工程类,120102,信息管理与信息系统
12,管理学,1201,管理科学与工程类,120103,工程管理
12,管理学,1201,管理科学与工程类,120104,房地产开发与管理
12,管理学,1201,管理科学与工程类,120105,工程造价
12,管理学,1201,管理科学与工程类,120106,保密管理
12,管理学,1202,工商管理类,120200,工商管理类
12,管理学,1202,工商管理类,120201,工商管理
12,管理学,1202,工商管理类,120202,市场营销
12,管理学,1202,工商管理类,120203,会计学
12,管理学,1202,工商管理类,120204,财务管理
12,管理学,1202,工商管理类,120205,国际商务
12,管理学,1202,工商管理类,120206,人力资源管理
