SF,MC,DM,PY
山西,豆罗,DLU,douluo
山西,东坡,DPO,dongpo
山西,大同东,DTD,datongdong
山西,东田良,DTL,dongtianliang
山西,大同,DTO,datong
山西,代县,DXI,daixian
山西,定襄,DXI,dingxiang
山西,大辛庄,DXZ,daxinzhuang
山西,东淤地,DYD,dongyudi
山西,东阳关,DYG,dongyangguan
山西,大营,DYI,daying
山西,东元庆,DYQ,dongyuanqing
山西,岱岳,DYU,daiyue
山西,东镇,DZH,dongzhen
山西,东庄,DZH,dongzhuang
山西,兑镇,DZH,duizhen
山西,汾河,FHE,fenhe
山西,风陵渡,FLD,fenglingdu
山西,繁峙,FSH,fanzhi
山西,汾阳,FYA,fenyang
山西,高村,GCU,gaocun
山西,古店,GDI,gudian
山西,古东,GDO,gudong
山西,古交,GJI,gujiao
山西,高平,GPI,gaoping
山西,孤山,GSH,gushan
山西,河边,HBI,hebian
山西,洪洞,HDO,hongdong
山西,洪洞西,HDX,hongdongxi
山西,河津,HJI,hejin
山西,韩家岭,HJL,hanjialing
山西,韩家楼,HJL,hanjialou
山西,侯马,HMA,houma
山西,侯马北,HMB,houmabei
山西,侯马西,HMX,houmaxi
山西,怀仁东,HRD,huairendong
山西,怀仁,HRE,huairen
山西,霍州东,HZD,huozhoudong
山西,霍州,HZH,huozhou
山西,晋城北,JCB,jinchengbei
山西,交城,JCH,jiaocheng
山西,晋城,JCH,jincheng
山西,蒋村,JCU,jiangcun
山西,嘉峰,JFE,jiafeng
山西,稷山,JSH,jishan
山西,金沙滩,JST,jinshatan
山西,介休东,JXD,jiexiudong
山西,介休,JXI,jiexiu
山西,晋中,JZH,jinzhong
山西,岢岚,KLA,kelan
山西,孔庄,KZH,kongzhuang
山西,黎城,LCH,licheng
山西,潞城,LCH,lucheng
山西,临汾,LFE,linfen
山西,临汾西,LFX,linfenxi
山西,芦家庄,LJZ,lujiazhuang
山西,柳林河,LLH,liulinhe
山西,吕梁,LLI,lvliang
山西,柳林南,LLN,liulinnan
山西,灵丘,LQI,lingqiu
山西,灵石东,LSD,lingshidong
山西,灵石,LSH,lingshi
山西,漫流河,MLH,manliuhe
山西,鸣李,MLI,mingli
山西,磨滩,MTA,motan
山西,南陈铺,NCP,nanchenpu
山西,南峧,NJI,nanjiao
山西,宁武,NWU,ningwu
山西,娘子关,NZG,niangziguan
山西,平社,PSH,pingshe
山西,平旺,PWA,pingwang
山西,平型关,PXG,pingxingguan
山西,平遥,PYA,pingyao
山西,平遥古城,PYC,pingyaogucheng
山西,堡子湾,PZW,baoziwan
山西,秦家庄,QJZ,qinjiazhuang
山西,祁县东,QXD,qixiandong
山西,祁县,QXI,qixian
山西,沁县,QXI,qinxian
山西,清徐,QXU,qingxu
山西,神池,SCH,shenchi
山西,神池南,SCN,shenchinan
山西,三岔镇,SCZ,sanchazhen
山西,神头,STO,shentou
山西,寿阳,SYA,shouyang
山西,水洋,SYA,shuiyang
山西,山阴,SYI,shanyin
山西,赛鱼,SYU,saiyu
山西,朔州,SZH,shuozhou
山西,朔州西,SZX,shuozhouxi
山西,太谷,TGU,taigu
山西,太谷西,TGX,taiguxi
山西,太原北,TYB,taiyuanbei
山西,太原东,TYD,taiyuandong
山西,弹音,TYI,danyin
山西,太原南,TYN,taiyuannan
山西,太原,TYU,taiyuan
山西,天镇,TZH,tianzhen
山西,王家寨,WJZ,wangjiazhai
山西,文水,WSH,wenshui
山西,五台山,WTS,wutaishan
山西,闻喜,WXI,wenxi
山西,武乡,WXI,wuxiang
山西,闻喜西,WXX,wenxixi
山西,五寨,WZH,wuzhai
山西,微子镇,WZZ,weizizhen
山西,夏店,XDI,xiadian
山西,襄汾,XFE,xiangfen
山西,襄汾西,XFX,xiangfenxi
山西,轩岗,XGA,xuangang
山西,薛孤,XGU,xuegu
山西,西贺村,XHC,xihecun
山西,新绛,XJI,xinjiang
山西,孝南,XNA,xiaonan
山西,下社,XSH,xiashe
山西,小宋,XSO,xiaosong
山西,修文,XWE,xiuwen
山西,西武匠,XWJ,xiwujiang
山西,孝西,XXI,xiaoxi
山西,西阳村,XYC,xiyangcun
山西,襄垣,XYU,xiangyuan
山西,西张,XZH,xizhang
山西,忻州,XZH,xinzhou
山西,运城北,YCB,yunchengbei
山西,阳城,YCH,yangcheng
山西,运城,YCH,yuncheng
山西,榆次,YCI,yuci
山西,阳方口,YFK,yangfangkou
山西,阳高,YGA,yanggao
山西,岩会,YHU,yanhui
山西,永济北,YJB,yongjibei
山西,永济,YJI,yongji
山西,永嘉堡,YJP,yongjiabao
山西,禹门口,YMK,yumenkou
山西,阳明堡,YMP,yangmingbao
山西,原平,YPI,yuanping
山西,阳泉北,YQB,yangquanbei
山西,阳泉曲,YQQ,yangquanqu
山西,阳曲,YQU,yangqu
山西,阳泉,YQU,yangquan
山西,榆社,YSH,yushe
山西,阴塔,YTA,yinta
山西,应县,YXI,yingxian
山西,镇城底,ZCD,zhenchengdi
山西,赵城,ZCH,zhaocheng
山西,张兰,ZLA,zhanglan
山西,枣林,ZLI,zaolin
山西,赵庄,ZZH,zhaozhuang
山西,长子,ZZI,zhangzi
内蒙古,艾不盖,ABG,aibugai
内蒙古,敖包沟,ABG,aobaogou
内蒙古,阿达日嘎,ADG,adariga
内蒙古,阿达日格,ADG,adarige
内蒙古,阿尔山,AES,aershan
内蒙古,阿贵图,AGT,aguitu
内蒙古,敖汉,AHA,aohan
内蒙古,敖来,ALA,aolai
内蒙古,敖力布告,ALG,aolibugao
内蒙古,阿里河,ALH,alihe
内蒙古,阿龙山,ALS,alongshan
内蒙古,昂乃,ANA,angnai
内蒙古,安庆沟,AQG,anqinggou
内蒙古,阿乌尼,AWN,awuni
内蒙古,布敦化,BDH,budunhua
内蒙古,白海,BHA,baihai
内蒙古,贲红,BHO,benhong
内蒙古,保健,BJI,baojian
内蒙古,本井,BJI,benjing
内蒙古,保康,BKA,baokang
内蒙古,毕克齐,BKQ,bikeqi
内蒙古,博克图,BKT,boketu
内蒙古,白狼,BLA,bailang
内蒙古,宝拉格,BLG,baolage
内蒙古,巴林,BLI,balin
内蒙古,坝梁,BLI,baliang
内蒙古,宝龙山,BLS,baolongshan
内蒙古,宝木吐,BMT,baomutu
内蒙古,宝门乡,BMX,baomenxiang
内蒙古,八苏木,BSM,basumu
内蒙古,白塔,BTA,baita
内蒙古,包头北,BTB,baotoubei
内蒙古,包头东,BTD,baotoudong
内蒙古,北头河,BTH,beitouhe
内蒙古,包头,BTO,baotou
内蒙古,巴图塔,BTT,batuta
内蒙古,包头西,BTX,baotouxi
内蒙古,北台子,BTZ,beitaizi
内蒙古,北兴安,BXA,beixingan
内蒙古,八仙筒,BXT,baxiantong
内蒙古,白云鄂博,BYB,baiyunebo
内蒙古,白银哈尔,BYE,baiyinhaer
内蒙古,白音察干,BYG,baiyinchagan
内蒙古,白彦花,BYH,baiyanhua
内蒙古,巴彦高勒,BYL,bayangaole
内蒙古,巴彦郭勒,BYL,bayanguole
内蒙古,白音库伦,BYL,baiyinkulun
内蒙古,白音他拉,BYL,baiyintala
内蒙古,白音特拉,BYL,baiyintela
内蒙古,白音胡硕,BYS,baiyinhushuo
内蒙古,白云,BYU,baiyun
内蒙古,查布嘎,CBG,chabuga
内蒙古,赤峰东,CFD,chifengdong
内蒙古,赤峰,CFE,chifeng
内蒙古,赤峰西,CFX,chifengxi
内蒙古,嵯岗,CGA,cuogang
内蒙古,查干哈达,CGD,chaganhada
内蒙古,查干诺尔,CGE,chagannuoer
内蒙古,朝格温多尔,CGE,chaogewenduoer
内蒙古,查干特格,CGG,chagantege
内蒙古,查干芒和,CGH,chaganmanghe
内蒙古,查干得日斯,CGS,chaganderisi
内蒙古,厂汗,CHA,changhan
内蒙古,成吉思汗,CJH,chengjisihan
内蒙古,曹家营子,CJZ,caojiayingzi
内蒙古,车家营子,CJZ,chejiayingzi
内蒙古,草六格尔,CLE,caoliugeer
内蒙古,楚鲁图,CLT,chulutu
内蒙古,朝脑沟,CNG,chaonaogou
内蒙古,察素齐,CSQ,chasuqi
内蒙古,朝原,CYU,chaoyuan
内蒙古,瓷窑湾,CYW,ciyaowan
内蒙古,朝中,CZH,chaozhong
内蒙古,大板,DBA,daban
内蒙古,德伯斯,DBS,debosi
内蒙古,道德,DDE,daode
内蒙古,多尔本毛道,DED,duoerbenmaodao
内蒙古,得耳布尔,DEE,deerbuer
内蒙古,杜尔基,DEJ,duerji
内蒙古,达盖,DGA,dagai
内蒙古,东宫,DGO,donggong
内蒙古,大罕,DHA,dahan
内蒙古,东壕,DHA,donghao
内蒙古,刁家段,DJD,diaojiaduan
内蒙古,杜家台,DJT,dujiatai
内蒙古,东来,DLA,donglai
内蒙古,道老杜,DLD,daolaodu
内蒙古,打拉亥,DLH,dalahai
内蒙古,大陆号,DLH,daluhao
内蒙古,大良,DLI,daliang
内蒙古,大林,DLI,dalin
内蒙古,道仑郭勒,DLL,daolunguole
内蒙古,达拉特旗,DLQ,dalateqi
内蒙古,都伦,DLU,dulun
内蒙古,达拉特西,DLX,dalatexi
内蒙古,东明村,DMC,dongmingcun
内蒙古,东南营子,DNZ,dongnanyingzi
内蒙古,大青沟,DQG,daqinggou
内蒙古,大其拉哈,DQH,daqilaha
内蒙古,达日其嘎,DRG,dariqiga
内蒙古,德日斯图,DRT,derisitu
内蒙古,东胜,DSH,dongsheng
内蒙古,大树湾,DSW,dashuwan
内蒙古,东胜西,DSX,dongshengxi
内蒙古,大石寨,DSZ,dashizhai
内蒙古,东土城,DTC,dongtucheng
内蒙古,东兴,DXI,dongxing
内蒙古,大雁,DYA,dayan
内蒙古,二道沟,EDG,erdaogou
内蒙古,二道沙河,EDH,erdaoshahe
内蒙古,鄂尔多斯,EES,eerduosi
内蒙古,额济纳,EJN,ejina
内蒙古,二连,ELI,erlian
内蒙古,二龙,ELO,erlong
内蒙古,福巨,FJU,fuju
内蒙古,丰林,FLI,fenglin
内蒙古,富林,FLI,fulin
内蒙古,风水沟,FSG,fengshuigou
内蒙古,福生庄,FSZ,fushengzhuang
内蒙古,福兴地,FXD,fuxingdi
内蒙古,丰镇,FZH,fengzhen
内蒙古,古城湾,GCW,guchengwan
内蒙古,葛根庙,GGM,gegenmiao
内蒙古,甘河,GHE,ganhe
内蒙古,根河,GHE,genhe
内蒙古,公积坂,GJB,gongjiban
内蒙古,姑家堡,GJB,gujiabao
内蒙古,高家村,GJC,gaojiacun
内蒙古,沟口,GKO,goukou
内蒙古,格勒,GLE,gele
内蒙古,古鲁满汗,GLH,gulumanhan
内蒙古,归流河,GLH,guiliuhe
内蒙古,古里金,GLJ,gulijin
内蒙古,嘎拉德斯汰,GLT,galadesitai
内蒙古,高林屯,GLT,gaolintun
内蒙古,公庙子,GMZ,gongmiaozi
内蒙古,关碾房,GNF,guannianfang
内蒙古,甘旗卡,GQK,ganqika
内蒙古,郭尔奔敖包,GRB,guoerbenaobao
内蒙古,嘎什吐,GST,gashentu
内蒙古,嘎什甸子,GSZ,gashendianzi
内蒙古,孤山子,GSZ,gushanzi
内蒙古,高台子,GTZ,gaotaizi
内蒙古,古营盘,GYP,guyingpan
内蒙古,公主埂,GZG,gongzhugeng
内蒙古,湖北,HBE,hubei
内蒙古,哈达,HDA,hada
内蒙古,化德,HDE,huade
内蒙古,皇德,HDE,huangde
内蒙古,赫尔洪得,HED,heerhongde
内蒙古,呼和浩特东,HHD,huhehaotedong
内蒙古,呼和温都尔,HHE,huhewendouer
内蒙古,红花沟,HHG,honghuagou
内蒙古,呼和浩特,HHT,huhehaote
内蒙古,黄花筒,HHT,huanghuatong
内蒙古,韩家村,HJC,hanjiacun
内蒙古,呼吉尔,HJE,hujier
内蒙古,杭锦后旗,HJQ,hangjinhouqi
内蒙古,杭锦旗,HJQ,hangjinqi
内蒙古,忽吉图,HJT,hujitu
内蒙古,哈克,HKE,hake
内蒙古,海拉尔,HLE,hailaer
内蒙古,哈拉沟,HLG,halagou
内蒙古,好力套高,HLG,haolitaogao
内蒙古,哈拉黑,HLH,halahei
内蒙古,汇流河,HLH,huiliuhe
内蒙古,霍林河,HLH,huolinhe
内蒙古,好鲁库,HLK,haoluku
内蒙古,霍林郭勒,HLL,huolinguole
内蒙古,哈拉苏,HLS,halasu
内蒙古,葫芦,HLU,hulu
内蒙古,豪门,HME,haomen
内蒙古,湖南,HNA,hunan
内蒙古,哈日努拉,HRL,harinula
内蒙古,贺日斯台,HRT,herisitai
内蒙古,红砂坝,HSB,hongshaba
内蒙古,汗苏鲁,HSL,hansulu
内蒙古,黑沙土,HST,heishatu
内蒙古,辉森乌拉西,HSX,huisenwulaxi
内蒙古,罕台川,HTC,hantaichuan
内蒙古,花吐古拉,HTL,huatugula
内蒙古,灰腾梁,HTL,huitengliang
内蒙古,哈业胡同,HYT,hayehutong
内蒙古,互做布其,HZQ,huzuobuqi
内蒙古,金宝屯,JBT,jinbaotun
内蒙古,碱柜,JGU,jiangui
内蒙古,金河,JHE,jinhe
内蒙古,金家店,JJD,jinjiadian
内蒙古,贾家街,JJJ,jiajiajie
内蒙古,金林,JLI,jinlin
内蒙古,静岭,JLI,jingling
内蒙古,吉兰泰,JLT,jilantai
内蒙古,集宁,JNI,jining
内蒙古,集宁南,JNN,jiningnan
内蒙古,经棚,JPE,jingpeng
内蒙古,吉文,JWE,jiwen
内蒙古,金银沟,JYG,jinyingou
内蒙古,景阳屯,JYT,jingyangtun
内蒙古,库都尔,KDE,kuduer
内蒙古,昆都庙,KDM,kundumiao
内蒙古,昆独仑召,KDZ,kundulunzhao
内蒙古,喀喇其,KLQ,kalaqi
内蒙古,开鲁,KLU,kailu
内蒙古,库伦,KLU,kulun
内蒙古,克一河,KYH,keyihe
内蒙古,岭北,LBE,lingbei
内蒙古,胪滨,LBI,lubin
内蒙古,六地沟,LDG,liudigou
内蒙古,林东,LDO,lindong
内蒙古,老府,LFU,laofu
内蒙古,临河,LHE,linhe
内蒙古,老哈河,LHH,laohahe
内蒙古,莲花山,LHS,lianhuashan
内蒙古,芦家村,LJC,lujiacun
内蒙古,喇嘛山,LMS,lamashan
内蒙古,岭南,LNA,lingnan
内蒙古,陵丘,LQI,lingqiu
内蒙古,刘伟壕,LWH,liuweihao
内蒙古,林西,LXI,linxi
内蒙古,老羊壕,LYH,laoyanghao
内蒙古,老伊尔施,LYS,laoyiershi
内蒙古,明安,MAN,mingan
内蒙古,门达,MDA,menda
内蒙古,免渡河,MDH,mianduhe
内蒙古,毛德呼热,MDR,maodehure
内蒙古,美岱召,MDZ,meidaizhao
内蒙古,莫尔道嘎,MEG,moerdaoga
内蒙古,莫尔格,MEG,moerge
内蒙古,马盖图,MGT,magaitu
内蒙古,毛告吐,MGT,maogaotu
内蒙古,满归,MGU,mangui
内蒙古,忙罕屯,MHT,manghantun
内蒙古,猛鹫山,MJS,mengjiushan
内蒙古,马架子,MJZ,majiazi
内蒙古,马林,MLI,malin
内蒙古,庙梁,MLI,miaoliang
内蒙古,木里图,MLT,mulitu
内蒙古,莫莫营子,MMZ,momoyingzi
内蒙古,明水河,MSH,mingshuihe
内蒙古,煤田,MTI,meitian
内蒙古,牧原,MYU,muyuan
内蒙古,满洲里,MZL,manzhouli
内蒙古,民族,MZU,minzu
内蒙古,牛耳河,NEH,niuerhe
内蒙古,牛汾台,NFT,niufentai
内蒙古,宁家,NJI,ningjia
内蒙古,牛家营子,NJZ,niujiayingzi
内蒙古,农垦四团,NKT,nongkensituan
内蒙古,那林桃亥,NLH,nalintaohai
内蒙古,乃林,NLI,nailin
内蒙古,纳林沟门,NLM,nalingoumen
内蒙古,奈曼,NMA,naiman
内蒙古,南木,NMU,nanmu
内蒙古,南兴安,NXA,nanxingan
内蒙古,欧里,OLI,ouli
内蒙古,平顶庙,PDM,pingdingmiao
内蒙古,平庄,PZH,pingzhuang
内蒙古,平庄南,PZN,pingzhuangnan
内蒙古,齐哈日格图,QHT,qiharigetu
内蒙古,钱家店,QJD,qianjiadian
内蒙古,旗山,QSH,qishan
内蒙古,前十家,QSJ,qianshijia
内蒙古,七苏木,QSM,qisumu
内蒙古,旗下营东,QXD,qixiayingdong
内蒙古,旗下营,QXY,qixiaying
内蒙古,热水,RSH,reshui
内蒙古,三把火,SBH,sanbahuo
内蒙古,舍伯吐,SBT,shebotu
内蒙古,十八台,SBT,shibatai
内蒙古,沙坝子,SBZ,shabazi
内蒙古,上店,SDI,shangdian
内蒙古,水地,SDI,shuidi
内蒙古,神东,SDO,shendong
内蒙古,三道桥,SDQ,sandaoqiao
内蒙古,商都,SDU,shangdu
内蒙古,四道湾,SDW,sidaowan
内蒙古,三道营,SDY,sandaoying
内蒙古,四分地,SFD,sifendi
内蒙古,四分滩,SFT,sifentan
内蒙古,桑根达来,SGL,sanggendalai
内蒙古,石圪台,SGT,shigetai
内蒙古,石拐,SGU,shiguai
内蒙古,四合,SHE,sihe
内蒙古,赛汗塔拉,SHL,saihantala
内蒙古,四合台,SHT,sihetai
内蒙古,苏宏图,SHT,suhongtu
内蒙古,石灰窑,SHY,shihuiyao
内蒙古,苏吉达巴,SJB,sujidaba
内蒙古,苏集,SJI,suji
内蒙古,三家子,SJZ,sanjiazi
内蒙古,三介海子,SJZ,sanjiehaizi
内蒙古,萨拉齐东,SLD,salaqidong
内蒙古,舍力虎,SLH,shelihu
内蒙古,沙力,SLI,shali
内蒙古,萨拉齐,SLQ,salaqi
内蒙古,索伦,SLU,suolun
内蒙古,石门村,SMC,shimencun
内蒙古,石门子,SMZ,shimenzi
内蒙古,双泡子,SPZ,shuangpaozi
内蒙古,沙日乃,SRN,sharinai
内蒙古,沙沙圪台,SST,shashagetai
内蒙古,双山屯,SST,shuangshantun
内蒙古,索图罕,STH,suotuhan
内蒙古,赛乌苏,SWS,saiwusu
内蒙古,山湾子,SWZ,shanwanzi
内蒙古,三义井,SYJ,sanyijing
内蒙古,三营图,SYT,sanyingtu
内蒙古,陶卜齐,TBQ,taobuqi
内蒙古,头道井,TDJ,toudaojing
内蒙古,头道桥,TDQ,toudaoqiao
内蒙古,天鹅湖,TEH,tianehu
内蒙古,塔尔气,TEQ,taerqi
内蒙古,桃儿湾,TEW,taoerwan
内蒙古,土贵乌拉,TGL,tuguiwula
内蒙古,台阁牧,TGM,taigemu
内蒙古,图呼木,THM,tuhumu
内蒙古,图克木庙,TKM,tukemumiao
内蒙古,通辽北,TLB,tongliaobei
内蒙古,通辽东,TLD,tongliaodong
内蒙古,吐列毛杜,TLD,tuliemaodu
内蒙古,塔拉哈尔,TLE,talahaer
内蒙古,图里河,TLH,tulihe
内蒙古,通辽,TLI,tongliao
内蒙古,塔力根土,TLT,taligentu
内蒙古,通辽西,TLX,tongliaoxi
内蒙古,土牧尔台,TMT,tumuertai
内蒙古,太平庄,TPZ,taipingzhuang
内蒙古,陶思浩,TSH,taosihao
内蒙古,桃司兔,TST,taositu
内蒙古,天义,TYI,tianyi
内蒙古,沃博尔,WBE,woboer
内蒙古,五叉沟,WCG,wuchagou
内蒙古,五道木,WDM,wudaomu
内蒙古,卫东,WDO,weidong
内蒙古,温都和硕,WDS,wenduheshuo
内蒙古,乌尔旗汗,WEH,wuerqihan
内蒙古,瓦房,WFA,wafang
内蒙古,乌固诺尔,WGE,wugunuoer
内蒙古,完工,WGO,wangong
内蒙古,乌海,WHA,wuhai
内蒙古,乌海北,WHB,wuhaibei
内蒙古,乌海西,WHX,wuhaixi
内蒙古,乌兰哈达,WLD,wulanhada
内蒙古,乌兰花,WLH,wulanhua
内蒙古,乌兰木伦,WLL,wulanmulun
内蒙古,乌拉特前旗,WLQ,wulateqianqi
内蒙古,乌兰丘,WLQ,wulanqiu
内蒙古,乌拉山,WLS,wulashan
内蒙古,乌兰浩特,WLT,wulanhaote
内蒙古,乌兰胡同,WLT,wulanhutong
